Date,Product_Category,Units_Sold,Inventory_Level,Unit_Price,Promotion_Flag,Warehouse_Dispatch_Rate
01-01-2020,Electronics,177.1,528.9,46.33,FALSE,178.1
01-01-2020,Pet Supplies,298.5,804.4,196.85,FALSE,306.6
01-01-2020,Beauty,292.3,1029.7,165.15,FALSE,305.7
01-01-2020,Sporting Goods,453.3,1397.7,126.8,FALSE,472.3
01-01-2020,Furniture,261.3,780.4,73.82,FALSE,243.5
01-01-2020,Toys,388.7,792.3,239.05,TRUE,397.1
01-01-2020,Automotive Parts,339.5,656.2,223.74,FALSE,311.8
01-01-2020,Apparel,453.9,719,168.09,FALSE,426.4
01-01-2020,Groceries,270,655.4,107.5,FALSE,276.9
01-01-2020,Office Supplies,363.4,882.1,91.4,FALSE,331.7
02-01-2020,Pet Supplies,298.1,807,191.7,FALSE,281.1
02-01-2020,Automotive Parts,348.8,786.5,219.17,FALSE,356.6
02-01-2020,Office Supplies,385.4,874.9,91.11,FALSE,381.8
02-01-2020,Sporting Goods,525.15,1419.1,128.33,FALSE,535.7
02-01-2020,Furniture,202.7,480.8,43.19,FALSE,210.9
02-01-2020,Toys,240.1,797.5,247.51,FALSE,224.2
02-01-2020,Groceries,302.1,649.9,108.64,FALSE,315.7
02-01-2020,Automotive Parts,337.6,819.5,213.49,FALSE,307.2
02-01-2020,Apparel,445.1,716.9,171.46,FALSE,69.9
02-01-2020,Furniture,281.1,773.8,76.01,FALSE,268.5
02-01-2020,Beauty,301.6,1023.4,161.52,FALSE,300.4
03-01-2020,Clothing,381.5,1234.9,172.29,FALSE,396.5
03-01-2020,Sporting Goods,642.8,1429,127.04,TRUE,628.15
03-01-2020,Furniture,292.9,760.3,73.95,FALSE,279.5
03-01-2020,Office Supplies,369.4,855.6,88.42,FALSE,443.7
03-01-2020,Automotive Parts,308.2,835.1,217.96,FALSE,287.5
03-01-2020,Apparel,483.4,711.2,167.15,FALSE,463.2
03-01-2020,Pet Supplies,642.8,803.9,192.42,FALSE,295
03-01-2020,Groceries,292.3,649.4,104.55,FALSE,284.1
03-01-2020,Toys,235.8,800.8,230.42,FALSE,228.1
03-01-2020,Electronics,196.4,510.5,46.62,FALSE,181.6
04-01-2020,Pet Supplies,306.4,809.5,200.14,FALSE,309.4
04-01-2020,Furniture,260.1,769.7,74.99,FALSE,248.6
04-01-2020,Electronics,192.1,512,45.59,FALSE,198.1
04-01-2020,Groceries,261.2,664,109.62,FALSE,274.1
04-01-2020,Apparel,600.6,712.1,172.11,TRUE,557.1
04-01-2020,Automotive Parts,354.3,782.2,224.68,FALSE,317.9
04-01-2020,Sporting Goods,509,1383.6,122.9,FALSE,522.1
04-01-2020,Toys,274.4,1722.47,237.42,FALSE,270.6
04-01-2020,Beauty,285.6,1030.2,166,FALSE,270
04-01-2020,Office Supplies,361.7,885.2,87.91,FALSE,374.6
04-01-2020,Sporting Goods,519.8,1079.1,129.04,FALSE,475.4
04-01-2020,Automotive Parts,313.5,835.5,212.92,FALSE,315.3
05-01-2020,Pet Supplies,266.4,815.9,191.48,FALSE,257.4
05-01-2020,Office Supplies,355,883.8,92.87,FALSE,336.3
05-01-2020,Furniture,265.4,761.5,73.87,FALSE,262.6
05-01-2020,Apparel,407.2,1216.3,171.24,FALSE,422.8
05-01-2020,Beauty,270.8,1035.8,166.83,FALSE,259.1
05-01-2020,Furniture,211.4,777.2,73.86,FALSE,211.2
05-01-2020,Automotive Parts,308.3,838.7,214.16,FALSE,309.1
05-01-2020,Beauty,399.3,1067.3,168.98,FALSE,373.4
05-01-2020,Toys,306.1,635.9,229.81,FALSE,285.7
05-01-2020,Toys,187.9,811,235.15,FALSE,186.3
05-01-2020,Groceries,286.1,619.7,108.32,FALSE,299.3
05-01-2020,Groceries,260.9,673.9,107.88,FALSE,240.3
06-01-2020,Electronics,198.2,527.3,46.55,TRUE,206.4
06-01-2020,Apparel,428.5,1212.2,169.72,FALSE,409.7
06-01-2020,Pet Supplies,247,827.6,198.77,FALSE,243.2
06-01-2020,Office Supplies,467.7,891.7,89.41,TRUE,441.1
06-01-2020,Toys,226.6,803.9,244.67,FALSE,233.2
06-01-2020,Sporting Goods,642.8,1098,129.43,TRUE,119.3
06-01-2020,Automotive Parts,271.4,844.2,223.34,FALSE,247.1
06-01-2020,Groceries,233.1,685.9,109.47,FALSE,218.2
06-01-2020,Pet Supplies,244.3,834,197.9,FALSE,226.8
06-01-2020,Sporting Goods,423.1,1377,125.31,FALSE,422.7
06-01-2020,Furniture,363.1,764,73.76,TRUE,333.7
06-01-2020,Beauty,383.5,1107.9,163.6,FALSE,386.1
06-01-2020,Beauty,234.6,1051.7,157.77,FALSE,628.15
07-01-2020,Furniture,282.8,760.3,77.74,FALSE,290.2
07-01-2020,Sporting Goods,460.6,1097.1,127.02,FALSE,472.7
07-01-2020,Office Supplies,477.6,895.2,88.95,TRUE,451.9
07-01-2020,Toys,217.3,807.5,236.71,FALSE,212.4
07-01-2020,Apparel,420.4,1215,170.28,FALSE,403.3
07-01-2020,Beauty,270,1047,160.06,FALSE,265.2
07-01-2020,Furniture,238.7,810.7,75.36,FALSE,231.4
07-01-2020,Sporting Goods,511.4,1364.4,129.51,FALSE,530.9
07-01-2020,Apparel,507.2,1321.1,168.92,TRUE,484.7
07-01-2020,Groceries,197.4,694.7,107.18,FALSE,295.35
07-01-2020,Pet Supplies,259.2,827.9,193.95,FALSE,255.8
07-01-2020,Toys,320.2,635.9,244.77,FALSE,328.4
07-01-2020,Electronics,175.5,523.1,46.78,FALSE,628.15
07-01-2020,Automotive Parts,296.4,839.7,217.75,FALSE,286.8
08-01-2020,Beauty,405.5,1080.9,167.97,FALSE,393.4
08-01-2020,Pet Supplies,321.3,814.6,205.73,FALSE,294.4
08-01-2020,Clothing,450.3,1203.3,166.46,FALSE,459.9
08-01-2020,Sporting Goods,431.4,1107.4,131.67,FALSE,400.3
08-01-2020,Automotive Parts,314.7,833.4,212.43,FALSE,284.5
08-01-2020,Office Supplies,377.6,877.4,87.46,FALSE,384.3
08-01-2020,Furniture,267.3,770.1,75.07,FALSE,262.5
08-01-2020,Apparel,393.1,1279.4,169.7,FALSE,406.5
09-01-2020,Toys,313.75,808,236.86,FALSE,224.2
09-01-2020,Furniture,285.3,760.1,73.12,FALSE,273.1
09-01-2020,Beauty,337.8,1068.5,164.22,FALSE,334.7
09-01-2020,Pet Supplies,335.9,790.7,196.71,FALSE,311.5
09-01-2020,Automotive Parts,227.9,764.9,220.75,FALSE,228.5
09-01-2020,Automotive Parts,364.8,815,217.8,FALSE,381.9
09-01-2020,Clothing,642.8,1178.7,174.47,TRUE,628.15
09-01-2020,Groceries,304.3,667.9,105.2,FALSE,296.6
09-01-2020,Electronics,201.4,519.1,46.02,FALSE,181.5
09-01-2020,Pet Supplies,308.6,768.5,196.38,FALSE,318.5
09-01-2020,Office Supplies,400.9,870.3,87.52,FALSE,406.3
09-01-2020,Sporting Goods,518.7,1441,130.23,FALSE,540.8
09-01-2020,Clothing,415.5,1238.7,166.23,FALSE,416.3
10-01-2020,Sporting Goods,527.3,1439.2,129.7,FALSE,548.7
10-01-2020,Automotive Parts,330.3,831,218.71,FALSE,341.8
10-01-2020,Groceries,304,667.1,112.07,FALSE,305.6
10-01-2020,Office Supplies,376.1,810.7,90.05,FALSE,354.4
10-01-2020,Beauty,290.7,1032.3,163.62,FALSE,304.9
10-01-2020,Office Supplies,514.8,877.8,87.58,TRUE,515.3
10-01-2020,Pet Supplies,321.3,796.4,197.46,FALSE,310.6
10-01-2020,Apparel,456.3,1187.7,166.84,FALSE,448.3
10-01-2020,Toys,241.8,795.5,239.83,FALSE,242.8
11-01-2020,Groceries,287,670.6,107.92,FALSE,293.3
11-01-2020,Beauty,294.2,1032.5,169.26,FALSE,302
11-01-2020,Toys,232.8,786.3,233.61,FALSE,235.8
11-01-2020,Sporting Goods,496,1404.7,128.33,FALSE,454.1
11-01-2020,Automotive Parts,348.1,818.4,217.08,FALSE,330.6
11-01-2020,Furniture,336.3,788.5,76.98,FALSE,305.4
11-01-2020,Apparel,456,779.1,174.53,FALSE,420
11-01-2020,Furniture,271.8,767.7,76.18,FALSE,263.4
11-01-2020,Office Supplies,378.7,872.8,90.02,FALSE,373.6
11-01-2020,Sporting Goods,504.9,1445.9,128.54,FALSE,495.3
12-01-2020,Groceries,226.4,683.4,107.16,FALSE,215.7
12-01-2020,Furniture,392.8,820.9,76.05,TRUE,376.7
12-01-2020,Beauty,251,1045.3,166.93,FALSE,246.4
12-01-2020,Office Supplies,353.8,878.2,91.51,FALSE,352
12-01-2020,Sporting Goods,442.6,1452.6,128.33,FALSE,456
12-01-2020,Apparel,439.1,783.4,171.85,FALSE,412.7
12-01-2020,Furniture,246.8,776.8,76.91,FALSE,289.7
12-01-2020,Electronics,177.8,533,46.78,FALSE,175.3
12-01-2020,Pet Supplies,276.9,803.7,191.13,FALSE,287
